185.126.64.7:8443#PL [314.39ms 3.99Mbps]
209.38.82.114:443#AU [314.49ms 1.76Mbps]
37.203.209.18:8443#SE [314.67ms 0.69Mbps]
193.181.208.185:443#DK [314.90ms 1.70Mbps]
45.153.48.236:8443#DK [315.14ms 3.31Mbps]
194.68.32.99:443#SE [315.39ms 0.84Mbps]
193.84.3.115:8443#SE [316.11ms 0.36Mbps]
131.196.252.97:443#MX [316.18ms 0.16Mbps]
194.87.85.5:8443#RS [317.41ms 0.27Mbps]
104.20.60.217:443#DE [317.62ms 2.84Mbps]
